what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1340901702403
locale,sysinfo,,,"en_GB",1340901702403
processors,sysinfo,,,"4",1340901702403
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340901702403
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1340901702403
java.specification.name,sysinfo,,,"Java Platform API Specification",1340901702403
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340901702403
java.specification.version,sysinfo,,,"1.6",1340901702403
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340901702403
java.version,sysinfo,,,"1.6.0_33",1340901702403
java.vm.info,sysinfo,,,"mixed mode",1340901702403
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340901702403
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340901702403
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340901702403
java.vm.specification.version,sysinfo,,,"1.0",1340901702403
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340901702403
java.vm.version,sysinfo,,,"20.8-b03",1340901702403
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1340901704939
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1340901705063
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1340901705071
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1340901705151
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1340901705516
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1340901711002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340901711111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340901712756
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340901712770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340901712770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340901716745
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1340901728345
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1340901728378
